,Date,Open,High,Low,Close*,Adj Close**,Volume
0,"May 12, 2022","3,903.95","3,964.80","3,858.87","3,930.08","3,930.08","4,964,130,000"
1,"May 11, 2022","3,990.08","4,049.09","3,928.82","3,935.18","3,935.18","4,683,220,000"
2,"May 10, 2022","4,035.18","4,068.82","3,958.17","4,001.05","4,001.05","4,630,150,000"
3,"May 09, 2022","4,081.27","4,081.27","3,975.48","3,991.24","3,991.24","4,746,120,000"
4,"May 06, 2022","4,128.17","4,157.69","4,067.91","4,123.34","4,123.34","4,254,300,000"
5,"May 05, 2022","4,270.43","4,270.43","4,106.01","4,146.87","4,146.87","4,197,620,000"
6,"May 04, 2022","4,181.18","4,307.66","4,148.91","4,300.17","4,300.17","4,236,210,000"
7,"May 03, 2022","4,159.78","4,200.10","4,147.08","4,175.48","4,175.48","3,877,530,000"
8,"May 02, 2022","4,130.61","4,169.81","4,062.51","4,155.38","4,155.38","4,474,060,000"
9,"Apr 29, 2022","4,253.75","4,269.68","4,124.28","4,131.93","4,131.93","3,943,480,000"
10,"Apr 28, 2022","4,222.58","4,308.45","4,188.63","4,287.50","4,287.50","3,969,440,000"
11,"Apr 27, 2022","4,186.52","4,240.71","4,162.90","4,183.96","4,183.96","3,876,340,000"
12,"Apr 26, 2022","4,278.14","4,278.14","4,175.04","4,175.20","4,175.20","3,760,420,000"
13,"Apr 25, 2022","4,255.34","4,299.02","4,200.82","4,296.12","4,296.12","4,061,070,000"
14,"Apr 22, 2022","4,385.83","4,385.83","4,267.62","4,271.78","4,271.78","3,930,660,000"
15,"Apr 21, 2022","4,489.17","4,512.94","4,384.47","4,393.66","4,393.66","3,833,570,000"
16,"Apr 20, 2022","4,472.26","4,488.29","4,448.76","4,459.45","4,459.45","3,678,040,000"
17,"Apr 19, 2022","4,390.63","4,471.03","4,390.63","4,462.21","4,462.21","3,197,930,000"
18,"Apr 18, 2022","4,385.63","4,410.31","4,370.30","4,391.69","4,391.69","3,509,340,000"
19,"Apr 14, 2022","4,449.12","4,460.46","4,390.77","4,392.59","4,392.59","3,634,740,000"
20,"Apr 13, 2022","4,394.30","4,453.92","4,392.70","4,446.59","4,446.59","3,273,140,000"
21,"Apr 12, 2022","4,437.59","4,471.00","4,381.34","4,397.45","4,397.45","3,451,990,000"
22,"Apr 11, 2022","4,462.64","4,464.35","4,408.38","4,412.53","4,412.53","3,452,540,000"
