,date,doller,fed,gdp,cpi,sp_close,sp_volume,mi_close,mi_volume,gsci_close,unem,infl,pmi
0,2021-08-30,92.650002,0.08,23202.344,273.092,4528.79,2557300000.0,134.13,672060.0,2589.3459,5.2,5.3,59.7
1,2021-08-27,92.690002,0.08,23202.344,273.092,4509.37,2862360000.0,133.89,2460000.0,2586.4009,5.2,5.3,59.7
2,2021-08-26,93.059998,0.09,23202.344,273.092,4470.0,2704600000.0,133.59,3100000.0,2549.678,5.2,5.3,59.7
3,2021-08-25,92.830002,0.09,23202.344,273.092,4496.19,2554680000.0,133.63,3160000.0,2563.0581,5.2,5.3,59.7
4,2021-08-24,92.889999,0.09,23202.344,273.092,4486.23,3037770000.0,133.98,1880000.0,2542.4231,5.2,5.3,59.7
5,2021-08-23,92.959999,0.09,23202.344,273.092,4479.53,2965520000.0,134.22,1230000.0,2496.2,5.2,5.3,59.7
6,2021-08-20,93.5,0.09,23202.344,273.092,4441.67,2867770000.0,134.13,1100000.0,2416.896,5.2,5.3,59.7
7,2021-08-19,93.57,0.09,23202.344,273.092,4405.8,3120840000.0,134.33,1410000.0,2446.075,5.2,5.3,59.7
8,2021-08-18,93.139999,0.09,23202.344,273.092,4400.27,2965210000.0,134.14,1370000.0,2499.3201,5.2,5.3,59.7
9,2021-08-17,93.129997,0.1,23202.344,273.092,4448.08,2884000000.0,134.27,1410000.0,2519.541,5.2,5.3,59.7
10,2021-08-16,92.629997,0.1,23202.344,273.092,4479.71,2707170000.0,134.33,1380000.0,2544.429,5.2,5.3,59.7
11,2021-08-13,92.519997,0.1,23202.344,273.092,4468.0,2371630000.0,133.95,967150.0,2565.054,5.2,5.3,59.7
12,2021-08-12,93.040001,0.1,23202.344,273.092,4460.83,2543860000.0,133.45,956950.0,2570.54,5.2,5.3,59.7
13,2021-08-11,92.910004,0.1,23202.344,273.092,4442.41,2803060000.0,133.58,1720000.0,2565.5969,5.2,5.3,59.7
14,2021-08-10,93.059998,0.1,23202.344,273.092,4436.75,3219840000.0,133.55,1280000.0,2545.9341,5.2,5.3,59.7
15,2021-08-09,92.949997,0.1,23202.344,273.092,4432.35,2779880000.0,133.78,1180000.0,2501.675,5.2,5.3,59.7
16,2021-08-06,92.800003,0.1,23202.344,273.092,4436.52,2839970000.0,134.0,1600000.0,2548.2981,5.2,5.3,59.7
