date,doller,fed,sp_data,sp_updown
1971-05-21,-0.176484581502385,-0.1200000000000001,100.99,0
1971-05-24,-0.067272725009747,0.1200000000000001,100.13,0
1971-05-25,0.0588325754202542,0.1200000000000001,99.47,0
1971-05-26,0.2347803079862464,-0.1200000000000001,99.59,1
1971-05-27,0.0586608554653281,0.25,99.4,0
1971-05-28,0.016754084905813,0.25,99.63,1
1971-06-01,0.0669865193000146,-0.1299999999999999,100.2,1
1971-06-02,0.2172295059365109,-0.1200000000000001,100.96,1
1971-06-03,-0.1589974895397547,0.1200000000000001,101.01,1
1971-06-04,-0.1508548441166668,0.1200000000000001,101.3,1
1971-06-07,-0.0419242066384805,0.1200000000000001,101.09,0
1971-06-08,-0.0335435704048478,0.1200000000000001,100.32,0
1971-06-09,0.0167689727463342,0.1299999999999999,100.29,0
1971-06-10,-0.0503381147690501,-0.1299999999999999,100.64,1
1971-06-11,0.0419288836284558,0.1299999999999999,101.07,1
1971-06-14,0.0,0.1200000000000001,100.22,0
1971-06-15,0.0419171762769989,0.1200000000000001,100.32,1
1971-06-16,0.0418929124147076,-0.1200000000000001,100.52,1
1971-06-17,-0.0251429054587748,-0.1200000000000001,100.5,0
1971-06-18,0.0083825008380825,-0.1200000000000001,98.97,0
1971-06-21,-0.0251479585451503,0.25,97.87,0
1971-06-22,0.0251416359369673,0.1200000000000001,97.59,0
1971-06-23,-0.0335353792214481,-0.3700000000000001,98.41,1
1971-06-24,-0.1007007351225021,0.25,98.13,0
1971-06-25,0.025168218387987,0.25,97.99,0
1971-06-28,0.0167745995870609,0.25,97.74,0
1971-06-29,0.0335438155136299,0.25,98.82,1
1971-06-30,-0.0335550711647969,-0.3799999999999999,98.7,0
1971-07-01,-0.041956191945072,0.5,99.78,1
1971-07-02,0.0083863389844195,0.5,99.78,0
1971-07-06,-0.0083870423502218,-0.1200000000000001,99.76,0
1971-07-07,0.0419385961071902,-0.25,100.04,1
1971-07-08,-0.0251711696593299,0.3700000000000001,100.34,1
1971-07-09,0.0,-0.1200000000000001,100.69,1
1971-07-12,-0.0083930520834615,-0.1200000000000001,100.82,1
1971-07-13,0.0,-0.1299999999999999,99.5,0
1971-07-14,-0.0083870423502218,0.1299999999999999,99.22,0
1971-07-15,-0.092398989691749,0.1200000000000001,99.28,1
1971-07-16,-0.0336114606568981,0.25,99.11,0
1971-07-19,-0.0756844950501876,0.1299999999999999,98.93,0
1971-07-20,0.0,-0.25,99.32,1
1971-07-21,-0.008404675522512,0.1200000000000001,99.28,0
1971-07-22,-0.0504888523431033,0.1200000000000001,99.11,0
1971-07-23,-0.0505067762395217,-0.1200000000000001,98.94,0
1971-07-26,-0.0252601881902996,-0.1299999999999999,98.14,0
1971-07-27,0.0336708745706039,0.1299999999999999,97.78,0
1971-07-28,0.0084125916743044,0.1299999999999999,97.07,0
1971-07-29,0.0168341325114175,0.1200000000000001,96.02,0
1971-07-30,-0.03367370962476,0.1200000000000001,95.58,0
