"날짜","종가","오픈","고가","저가","변동 %"
"1999년 08월 13일","5.979","5.979","5.979","5.979","-1.66%"
"1999년 08월 12일","6.080","6.080","6.080","6.080","-0.33%"
"1999년 08월 11일","6.100","6.100","6.100","6.100","-1.01%"
"1999년 08월 10일","6.162","6.162","6.162","6.162","0.51%"
"1999년 08월 09일","6.131","6.131","6.131","6.131","1.54%"
"1999년 08월 06일","6.038","6.038","6.038","6.038","2.97%"
"1999년 08월 05일","5.864","5.864","5.864","5.864","-1.23%"
"1999년 08월 04일","5.937","5.937","5.937","5.937","-0.30%"
"1999년 08월 03일","5.955","5.955","5.955","5.955","0.52%"
"1999년 08월 02일","5.924","5.924","5.924","5.924","0.37%"
"1999년 07월 30일","5.902","5.902","5.902","5.902","0.44%"
"1999년 07월 29일","5.876","5.876","5.876","5.876","1.42%"
"1999년 07월 28일","5.794","5.794","5.794","5.794","-0.31%"
"1999년 07월 27일","5.812","5.812","5.812","5.812","-0.58%"
"1999년 07월 26일","5.846","5.846","5.846","5.846","0.07%"
"1999년 07월 23일","5.842","5.842","5.842","5.842","1.06%"
"1999년 07월 22일","5.781","5.781","5.781","5.781","2.25%"
"1999년 07월 21일","5.654","5.654","5.654","5.654","0.30%"
"1999년 07월 20일","5.637","5.637","5.637","5.637","-0.53%"
"1999년 07월 19일","5.667","5.667","5.667","5.667","-0.07%"
"1999년 07월 16일","5.671","5.671","5.671","5.671","-0.96%"
"1999년 07월 15일","5.726","5.726","5.726","5.726","-0.14%"
"1999년 07월 14일","5.734","5.734","5.734","5.734","0.53%"
"1999년 07월 13일","5.704","5.704","5.704","5.704","-0.45%"
"1999년 07월 12일","5.730","5.730","5.730","5.730","-1.75%"
"1999년 07월 09일","5.832","5.832","5.832","5.832","0.15%"
"1999년 07월 08일","5.823","5.823","5.823","5.823","-1.10%"
"1999년 07월 07일","5.888","5.888","5.888","5.888","0.31%"
"1999년 07월 06일","5.870","5.870","5.870","5.870","0.58%"
"1999년 07월 02일","5.836","5.836","5.836","5.836","-0.07%"
"1999년 07월 01일","5.840","5.840","5.840","5.840","0.95%"
"1999년 06월 30일","5.785","5.785","5.785","5.785","-2.38%"
"1999년 06월 29일","5.926","5.926","5.926","5.926","-0.35%"
"1999년 06월 28일","5.947","5.947","5.947","5.947","-1.15%"
"1999년 06월 25일","6.016","6.016","6.016","6.016","-0.36%"
"1999년 06월 24일","6.038","6.038","6.038","6.038","0.08%"
"1999년 06월 23일","6.033","6.033","6.033","6.033","1.82%"
"1999년 06월 22일","5.925","5.925","5.925","5.925","0.58%"
"1999년 06월 21일","5.891","5.891","5.891","5.891","1.10%"
"1999년 06월 18일","5.827","5.827","5.827","5.827","0.67%"
"1999년 06월 17일","5.788","5.788","5.788","5.788","-2.31%"
"1999년 06월 16일","5.925","5.925","5.925","5.925","-0.94%"
"1999년 06월 15일","5.981","5.981","5.981","5.981","0.30%"
"1999년 06월 14일","5.963","5.963","5.963","5.963","-1.23%"
"1999년 06월 11일","6.037","6.037","6.037","6.037","1.82%"
"1999년 06월 10일","5.929","5.929","5.929","5.929","0.66%"
"1999년 06월 09일","5.890","5.890","5.890","5.890","1.10%"
"1999년 06월 08일","5.826","5.826","5.826","5.826","0.52%"
"1999년 06월 07일","5.796","5.796","5.796","5.796","-0.22%"
"1999년 06월 04일","5.809","5.809","5.809","5.809","0.07%"
"1999년 06월 03일","5.805","5.805","5.805","5.805","0.45%"
"1999년 06월 02일","5.779","5.779","5.779","5.779","0.30%"
"1999년 06월 01일","5.762","5.762","5.762","5.762","2.45%"
"1999년 05월 28일","5.624","5.624","5.624","5.624","-0.07%"
"1999년 05월 27일","5.628","5.628","5.628","5.628","1.35%"
"1999년 05월 26일","5.553","5.553","5.553","5.553","1.50%"
"1999년 05월 25일","5.471","5.471","5.471","5.471","-0.15%"
"1999년 05월 24일","5.479","5.479","5.479","5.479","-0.60%"
"1999년 05월 21일","5.512","5.512","5.512","5.512","-1.48%"
"1999년 05월 20일","5.595","5.595","5.595","5.595","0.00%"
"1999년 05월 19일","5.595","5.595","5.595","5.595","-1.17%"
"1999년 05월 18일","5.661","5.661","5.661","5.661","0.37%"
"1999년 05월 17일","5.640","5.640","5.640","5.640","0.21%"
"1999년 05월 14일","5.628","5.628","5.628","5.628","4.03%"
"1999년 05월 13일","5.410","5.410","5.410","5.410","-2.82%"
"1999년 05월 12일","5.567","5.567","5.567","5.567","-0.23%"
"1999년 05월 11일","5.580","5.580","5.580","5.580","0.79%"
"1999년 05월 10일","5.536","5.536","5.536","5.536","-0.07%"
"1999년 05월 07일","5.540","5.540","5.540","5.540","0.65%"
"1999년 05월 06일","5.504","5.504","5.504","5.504","1.96%"
"1999년 05월 05일","5.398","5.398","5.398","5.398","-0.17%"
"1999년 05월 04일","5.407","5.407","5.407","5.407","0.90%"
"1999년 05월 03일","5.359","5.359","5.359","5.359","0.17%"
"1999년 04월 30일","5.350","5.350","5.350","5.350","2.57%"
"1999년 04월 29일","5.216","5.216","5.216","5.216","-0.89%"
"1999년 04월 28일","5.263","5.263","5.263","5.263","1.08%"
"1999년 04월 27일","5.207","5.207","5.207","5.207","-0.25%"
"1999년 04월 26일","5.220","5.220","5.220","5.220","-0.57%"
"1999년 04월 23일","5.250","5.250","5.250","5.250","0.02%"
"1999년 04월 22일","5.249","5.249","5.249","5.249","1.41%"
"1999년 04월 21일","5.176","5.176","5.176","5.176","0.74%"
"1999년 04월 20일","5.138","5.138","5.138","5.138","-0.08%"
"1999년 04월 19일","5.142","5.142","5.142","5.142","-1.48%"
"1999년 04월 16일","5.219","5.219","5.219","5.219","1.01%"
