날짜,0
2014-08-07,"(Decimal('0.5'), Decimal('0.3'), Decimal('0.1'), Decimal('0.1'))"
2002-11-08,"(Decimal('0.1'), Decimal('0.3'), Decimal('0.5'), Decimal('0.1'))"
2012-01-31,"(Decimal('0.1'), Decimal('0.5'), Decimal('0.1'), Decimal('0.3'))"
2004-03-29,"(Decimal('0.3'), Decimal('0.1'), Decimal('0.5'), Decimal('0.1'))"
2013-01-03,"(Decimal('0.5'), Decimal('0.3'), Decimal('0.1'), Decimal('0.1'))"
2014-09-29,"(Decimal('0.5'), Decimal('0.3'), Decimal('0.1'), Decimal('0.1'))"
2018-12-20,"(Decimal('0.5'), Decimal('0.1'), Decimal('0.3'), Decimal('0.1'))"
2018-10-25,"(Decimal('0.5'), Decimal('0.3'), Decimal('0.1'), Decimal('0.1'))"
2019-04-04,"(Decimal('0.1'), Decimal('0.5'), Decimal('0.1'), Decimal('0.3'))"
2021-01-29,"(Decimal('0.3'), Decimal('0.1'), Decimal('0.5'), Decimal('0.1'))"
2016-08-01,"(Decimal('0.5'), Decimal('0.1'), Decimal('0.3'), Decimal('0.1'))"
2010-08-24,"(Decimal('0.1'), Decimal('0.3'), Decimal('0.5'), Decimal('0.1'))"
2010-12-10,"(Decimal('0.1'), Decimal('0.3'), Decimal('0.5'), Decimal('0.1'))"
2005-02-04,"(Decimal('0.3'), Decimal('0.1'), Decimal('0.5'), Decimal('0.1'))"
2005-04-18,"(Decimal('0.3'), Decimal('0.1'), Decimal('0.5'), Decimal('0.1'))"
2010-07-14,"(Decimal('0.3'), Decimal('0.1'), Decimal('0.5'), Decimal('0.1'))"
2015-06-04,"(Decimal('0.5'), Decimal('0.1'), Decimal('0.3'), Decimal('0.1'))"
2007-10-03,"(Decimal('0.1'), Decimal('0.3'), Decimal('0.5'), Decimal('0.1'))"
2011-04-04,"(Decimal('0.1'), Decimal('0.5'), Decimal('0.1'), Decimal('0.3'))"
