"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-08",102.2047,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-09",102.1303,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-10",101.8618,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-11",101.4261,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-12",100.8916,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-01",100.3759,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-02",99.91006,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-03",99.4711,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-04",99.07278,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-05",98.78932,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-06",98.64036,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-07",98.61088,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-08",98.69765,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-09",98.89846,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-10",99.19907,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-11",99.5583,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-12",99.95473,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-01",100.334,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-02",100.6254,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-03",100.7578,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-04",100.6281,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-05",100.1384,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-06",99.31593,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-07",98.27813,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-08",97.19498,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-09",96.31322,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-10",95.73769,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-11",95.50275,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-12",95.59457,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-01",95.94527,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-02",96.43587,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-03",97.03381,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-04",97.72456,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-05",98.44259,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-06",99.12916,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-07",99.72868,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-08",100.2408,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-09",100.6632,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-10",100.9507,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-11",101.0726,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-12",101.0233,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-01",100.8576,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-02",100.6197,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-03",100.3468,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-04",100.1345,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-05",100.1061,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-06",100.2323,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-07",100.5043,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-08",100.8405,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-09",101.1125,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-10",101.2469,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-11",101.1954,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-12",100.9493,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-01",100.5642,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-02",100.1302,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-03",99.68911,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-04",99.24796,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-05",98.77703,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-06",98.31403,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-07",97.89658,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-08",97.54731,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-09",97.23889,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-10",97.00362,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-11",96.88812,
