"날짜","종가","오픈","고가","저가","거래량","변동 %"
"1999년 07월 06일","2,283.1851","2,283.1851","2,283.1851","2,283.1851","-","-0.59%"
"1999년 07월 02일","2,296.7830","2,296.7830","2,296.7830","2,296.7830","-","-0.01%"
"1999년 07월 01일","2,296.9551","2,296.9551","2,296.9551","2,296.9551","-","-0.42%"
"1999년 06월 30일","2,306.7019","2,306.7019","2,306.7019","2,306.7019","-","2.25%"
"1999년 06월 29일","2,255.9180","2,255.9180","2,255.9180","2,255.9180","-","0.74%"
"1999년 06월 28일","2,239.3950","2,239.3950","2,239.3950","2,239.3950","-","-0.58%"
"1999년 06월 25일","2,252.4041","2,252.4041","2,252.4041","2,252.4041","-","0.09%"
"1999년 06월 24일","2,250.4270","2,250.4270","2,250.4270","2,250.4270","-","-0.45%"
"1999년 06월 23일","2,260.6521","2,260.6521","2,260.6521","2,260.6521","-","1.56%"
"1999년 06월 22일","2,225.8970","2,225.8970","2,225.8970","2,225.8970","-","-0.31%"
"1999년 06월 21일","2,232.7451","2,232.7451","2,232.7451","2,232.7451","-","-0.93%"
"1999년 06월 18일","2,253.8110","2,253.8110","2,253.8110","2,253.8110","-","-0.07%"
"1999년 06월 17일","2,255.3359","2,255.3359","2,255.3359","2,255.3359","-","0.43%"
"1999년 06월 16일","2,245.5959","2,245.5959","2,245.5959","2,245.5959","-","-1.45%"
"1999년 06월 15일","2,278.6460","2,278.6460","2,278.6460","2,278.6460","-","0.03%"
"1999년 06월 14일","2,277.9041","2,277.9041","2,277.9041","2,277.9041","-","0.14%"
"1999년 06월 11일","2,274.7029","2,274.7029","2,274.7029","2,274.7029","-","1.60%"
"1999년 06월 10일","2,238.8889","2,238.8889","2,238.8889","2,238.8889","-","-0.49%"
"1999년 06월 09일","2,249.8040","2,249.8040","2,249.8040","2,249.8040","-","0.87%"
"1999년 06월 08일","2,230.2981","2,230.2981","2,230.2981","2,230.2981","-","-0.71%"
"1999년 06월 07일","2,246.2100","2,246.2100","2,246.2100","2,246.2100","-","1.61%"
"1999년 06월 04일","2,210.6150","2,210.6150","2,210.6150","2,210.6150","-","1.63%"
"1999년 06월 03일","2,175.0750","2,175.0750","2,175.0750","2,175.0750","-","0.46%"
"1999년 06월 02일","2,165.1609","2,165.1609","2,165.1609","2,165.1609","-","1.33%"
"1999년 06월 01일","2,136.6990","2,136.6990","2,136.6990","2,136.6990","-","-1.41%"
"1999년 05월 28일","2,167.3081","2,167.3081","2,167.3081","2,167.3081","-","-0.30%"
"1999년 05월 27일","2,173.8191","2,173.8191","2,173.8191","2,173.8191","-","-0.52%"
"1999년 05월 26일","2,185.2361","2,185.2361","2,185.2361","2,185.2361","-","0.60%"
"1999년 05월 25일","2,172.1899","2,172.1899","2,172.1899","2,172.1899","-","0.31%"
"1999년 05월 24일","2,165.5090","2,165.5090","2,165.5090","2,165.5090","-","-1.64%"
"1999년 05월 21일","2,201.5420","2,201.5420","2,201.5420","2,201.5420","-","0.58%"
"1999년 05월 20일","2,188.8201","2,188.8201","2,188.8201","2,188.8201","-","0.02%"
"1999년 05월 19일","2,188.3010","2,188.3010","2,188.3010","2,188.3010","-","-0.54%"
"1999년 05월 18일","2,200.0959","2,200.0959","2,200.0959","2,200.0959","-","-2.01%"
"1999년 05월 17일","2,245.2839","2,245.2839","2,245.2839","2,245.2839","-","-0.33%"
"1999년 05월 14일","2,252.8181","2,252.8181","2,252.8181","2,252.8181","-","-0.22%"
"1999년 05월 13일","2,257.7649","2,257.7649","2,257.7649","2,257.7649","-","1.19%"
"1999년 05월 12일","2,231.3110","2,231.3110","2,231.3110","2,231.3110","-","-1.22%"
"1999년 05월 11일","2,258.8611","2,258.8611","2,258.8611","2,258.8611","-","-0.93%"
"1999년 05월 10일","2,280.0991","2,280.0991","2,280.0991","2,280.0991","-","0.77%"
"1999년 05월 07일","2,262.6379","2,262.6379","2,262.6379","2,262.6379","-","-0.67%"
"1999년 05월 06일","2,277.8491","2,277.8491","2,277.8491","2,277.8491","-","-1.59%"
